product_number,formula_code,product_name,product_form,unit_weight,pallet_quantity,stocking_status,min_order_quantity,days_lead_time,fob_or_dlv,price_change,list_price,full_pallet_price,half_load_full_pallet_price,full_load_full_pallet_price,full_load_best_price,plant_location,date_inserted,source
3009665-206,6260,CA LAYER 16 PEL 50LB,PELLETS,50.00 LB,40,FS,0,5,DLV,0.35,11.79,11.39,11.14,10.89,10.56,HUDSON'S,2024-10-07,pdf
3004428-205,61HJ,DUCK PLT 40LB,PELLETS,40.00 LB,50,FS,0,5,DLV,0.3,17.53,17.13,16.93,16.73,16.23,HUDSON'S,2024-10-07,pdf
3003340-306,61HM,FLK RAISER CRUMBLE 50LB,CRUMBLES,50.00 LB,40,FS,0,5,DLV,0.37,20.31,19.91,19.66,19.41,18.83,HUDSON'S,2024-10-07,pdf
3003340-206,61HM,FLK RAISER PLT 50LB,PELLETS,50.00 LB,40,FS,0,5,DLV,0.37,20.26,19.86,19.61,19.36,18.78,HUDSON'S,2024-10-07,pdf
3003351-603,61GP,FLOCK BLOCK 25LB,BLOCKS,25.00 LB,80,FX,0,5,DLV,0.19,12.79,12.39,12.26,12.13,11.77,HUDSON'S,2024-10-07,pdf
3003377-303,61DK,LAYENA CR 25LB,CRUMBLES,25.00 LB,80,FX,0,5,DLV,0.19,9.64,9.24,9.11,8.98,8.71,HUDSON'S,2024-10-07,pdf
3003377-306,61DK,LAYENA CR 50LB,CRUMBLES,50.00 LB,40,FS,0,5,DLV,0.38,18.89,18.49,18.24,17.99,17.45,HUDSON'S,2024-10-07,pdf
3003377-203,61DK,LAYENA PLT 25LB,PELLETS,25.00 LB,50,FS,0,5,DLV,0.19,9.6,9.2,9.07,8.94,8.67,HUDSON'S,2024-10-07,pdf
3003377-206,61DK,LAYENA PLT 50LB,PELLETS,50.00 LB,40,FS,0,5,DLV,0.38,18.89,18.49,18.24,17.99,17.45,HUDSON'S,2024-10-07,pdf
3007232-612,622T,PUR HEN BLOCK BSFL 20LB,BLOCKS,20.00 LB,100,FX,0,5,DLV,0.15,12.44,12.04,11.94,11.84,11.48,HUDSON'S,2024-10-07,pdf
3005976-946,523H,PUR HEN TREAT BSFL 4X3LB,MEAL,12.00 LB,36,FX,0,5,DLV,0.0,83.67,83.27,83.21,83.15,80.66,HUDSON'S,2024-10-07,pdf
3005975-946,523G,PUR HEN TREAT PRO+GRNS 4X7.5LB,MEAL,30.00 LB,36,FX,0,5,DLV,0.0,84.1,83.7,83.55,83.4,80.9,HUDSON'S,2024-10-07,pdf
3007296-205,623M,PUR LAYENA HIGH PROTEIN 40LB,PELLETS,40.00 LB,50,FX,0,5,DLV,0.3,18.55,18.15,17.95,17.75,17.22,HUDSON'S,2024-10-07,pdf
3003350-205,61GQ,PURINA LAYENA+ OMEGA,PELLETS,40.00 LB,50,FS,0,5,DLV,0.3,18.89,18.49,18.29,18.09,17.55,HUDSON'S,2024-10-07,pdf
3004765-305,61QW,PURINA MEAT BIRD CRUMBLES 40LB,CRUMBLES,40.00 LB,50,FX,0,5,DLV,0.3,16.83,16.43,16.23,16.03,15.55,HUDSON'S,2024-10-07,pdf
3005360-103,61WW,PURINA SCRATCH GRAIN 25LB,MEAL,25.00 LB,50,FS,0,5,DLV,0.27,7.79,7.39,7.26,7.13,6.92,HUDSON'S,2024-10-07,pdf
3005360-106,61WW,PURINA SCRATCH GRAIN 50LB,MEAL,50.00 LB,40,FS,0,5,DLV,0.55,13.26,12.86,12.61,12.36,11.99,HUDSON'S,2024-10-07,pdf
3004798-303,61R5,START+GROW AMP .0125 CR 25LB,CRUMBLES,25.00 LB,80,FX,0,5,DLV,0.19,10.95,10.55,10.42,10.29,9.98,HUDSON'S,2024-10-07,pdf
3004798-306,61R5,START+GROW AMP .0125 CR 50LB,CRUMBLES,50.00 LB,40,FS,0,5,DLV,0.38,20.64,20.24,19.99,19.74,19.15,HUDSON'S,2024-10-07,pdf
3004799-346,61R7,START+GROW AMP .0125 CR 8X5LB,CRUMBLES,40.00 LB,36,FX,0,5,DLV,0.3,31.81,31.41,31.21,31.01,30.08,HUDSON'S,2024-10-07,pdf
3004800-303,61R8,START+GROW CR 25LB,CRUMBLES,25.00 LB,50,FS,0,5,DLV,0.18,10.82,10.42,10.29,10.16,9.86,HUDSON'S,2024-10-07,pdf
3004800-306,61R8,START+GROW CR 50LB,CRUMBLES,50.00 LB,40,FS,0,5,DLV,0.38,20.39,19.99,19.74,19.49,18.91,HUDSON'S,2024-10-07,pdf
3004801-346,61R9,START+GROW CR 8X5LB,CRUMBLES,40.00 LB,36,FX,0,5,DLV,0.3,31.81,31.41,31.21,31.01,30.08,HUDSON'S,2024-10-07,pdf
3003482-224,L5FX,PURINA ORGANIC LAYER PELLETS,PELLETS,35.00 LB,55,FX,0,5,DLV,0.0,23.2,22.8,22.62,22.44,21.77,HUDSON'S,2024-10-07,pdf
3003485-124,L5GC,PURINA ORGANIC SCRATCH,MEAL,35.00 LB,55,FX,0,5,DLV,0.0,20.15,19.75,19.57,19.39,18.81,HUDSON'S,2024-10-07,pdf
3003484-324,L5GB,PURINA ORGANIC STARTER/GROWE,CRUMBLES,35.00 LB,55,FX,0,5,DLV,0.0,23.3,22.9,22.72,22.54,21.86,HUDSON'S,2024-10-07,pdf
1387,5440,GAMEBIRD MAINTENANCE,CRUMBLES,50.00 LB,40,FX,0,5,DLV,0.38,20.24,19.84,19.59,19.34,18.76,HUDSON'S,2024-10-07,pdf
3005640-305,542W,PUR GAME BIRD 30 STARTER 40LB,CRUMBLES,40.00 LB,50,FX,0,5,DLV,0.3,19.23,18.83,18.83,18.83,18.27,HUDSON'S,2024-10-07,pdf
3006901-305,542X,PUR GAME BIRD LAYER,CRUMBLES,40.00 LB,50,FX,0,5,DLV,0.3,18.07,17.67,17.47,17.27,16.75,HUDSON'S,2024-10-07,pdf
3009591-206,55LX,PUR GOAT GROW 16PLUSUP DQ.001,PELLETS,50.00 LB,40,FS,0,5,DLV,0.38,17.09,16.69,16.44,16.19,15.7,HUDSON'S,2024-10-07,pdf
3004597-206,554G,PURINA DAIRY GOAT PARLOR 18,PELLETS,50.00 LB,40,FX,0,5,DLV,0.37,17.31,16.91,16.66,16.41,15.92,HUDSON'S,2024-10-07,pdf
3009590-506,55LW,PURINA GOAT CHOW PLUS UP,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.37,21.51,21.11,20.86,20.61,19.99,HUDSON'S,2024-10-07,pdf
3004993-103,555H,PURINA GOAT MINERAL 25LB,MEAL,25.00 LB,80,FX,0,5,DLV,0.0,15.62,15.22,15.09,14.96,14.51,HUDSON'S,2024-10-07,pdf
2671011-106,L5ZM,GL SELECT CRACKED CORN,MEAL,50.00 LB,40,FS,0,5,DLV,0.97,11.86,11.46,11.21,10.96,10.63,HUDSON'S,2024-10-07,pdf
2671010-106,L5ZL,GL SELECT WHOLE CORN,MEAL,50.00 LB,40,FX,0,5,DLV,0.97,11.56,11.16,10.91,10.66,10.34,HUDSON'S,2024-10-07,pdf
3004870-706,35HC,AMPLIFY EQUINE SUPPLEMENT BG,EXTRUDED,50.00 LB,40,FX,0,5,DLV,0.0,47.09,46.69,46.44,46.19,44.8,HUDSON'S,2024-10-07,pdf
3009502-206,3H1L,CA ALL STOCK PELLET 12,PELLETS,50.00 LB,40,FS,0,5,DLV,0.55,10.04,9.64,9.39,9.14,8.87,HUDSON'S,2024-10-07,pdf
3009496-206,3H1N,CA HORSE PELLET 12/8 HF,PELLETS,50.00 LB,40,FS,0,5,DLV,0.58,11.29,10.89,10.64,10.39,10.08,HUDSON'S,2024-10-07,pdf
3009703-506,3H23,CA HORSE SWEET TX 12/10 HF 50L,TEXTURED,50.00 LB,40,FX,0,5,DLV,0.2,15.06,14.66,14.41,14.16,13.74,HUDSON'S,2024-10-07,pdf
3002564-206,35ML,ENRICH PLUS,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,30.59,30.19,29.94,29.69,28.8,HUDSON'S,2024-10-07,pdf
3007657-206,3H00,ENRICH PLUS SENIOR,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,38.76,38.36,38.11,37.86,36.72,HUDSON'S,2024-10-07,pdf
3006848-506,35WY,EQUINE SENIOR,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.37,23.56,23.16,22.91,22.66,21.98,HUDSON'S,2024-10-07,pdf
3006849-506,35YJ,EQUINE SENIOR ACTIVE,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.37,25.06,24.66,24.41,24.16,23.44,HUDSON'S,2024-10-07,pdf
3009564-246,3H1W,EQUINE SYSTEMIQ SUPP 6X2LB,PELLETS,12.00 LB,70,FX,0,5,DLV,0.0,225.75,225.35,225.29,225.23,218.47,HUDSON'S,2024-10-07,pdf
3002464-103,35FE,FREE BALANCE 12-12 SUPPLEMENT,MEAL,25.00 LB,80,FX,0,5,DLV,0.0,27.61,27.21,27.08,26.95,26.14,HUDSON'S,2024-10-07,pdf
3005931-506,35KK,IMPACT 14-10 SPORT HORSE,TEXTURED,50.00 LB,40,FX,0,5,DLV,0.37,18.11,17.71,17.46,17.21,16.69,HUDSON'S,2024-10-07,pdf
3004501-206,35XB,IMPACT ALL STAGES 12-6 PLT,PELLETS,50.00 LB,40,FS,0,5,DLV,0.38,16.79,16.39,16.14,15.89,15.41,HUDSON'S,2024-10-07,pdf
3004502-506,35XC,IMPACT ALL STAGES 12-6 TXT,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.38,17.04,16.64,16.39,16.14,15.66,HUDSON'S,2024-10-07,pdf
3004507-206,35XJ,IMPACT HAY STRETCHER,PELLETS,50.00 LB,40,FS,0,5,DLV,0.37,16.06,15.66,15.41,15.16,14.71,HUDSON'S,2024-10-07,pdf
3004509-506,35XL,IMPACT MATURE ACTIVE 10-10 TXT,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.37,18.56,18.16,17.91,17.66,17.13,HUDSON'S,2024-10-07,pdf
3006066-206,35MD,IMPACT PROFESSIONAL PERFORM,PELLETS,50.00 LB,40,FS,0,5,DLV,0.37,20.46,20.06,19.81,19.56,18.97,HUDSON'S,2024-10-07,pdf
3004514-206,35XR,IMPACT PROFESSIONAL SENIOR,PELLETS,50.00 LB,40,FS,0,5,DLV,0.37,19.56,19.16,18.91,18.66,18.1,HUDSON'S,2024-10-07,pdf
3005953-846,35YP,OMEGA MATCH AHIFLOWEROIL4X1G,LIQUID,36.00 LB,36,FX,0,5,DLV,0.0,425.8,425.4,425.22,425.04,412.29,HUDSON'S,2024-10-07,pdf
3005939-205,35WQ,OMEGA MATCH HORSE RATION BAL,PELLETS,40.00 LB,50,FX,0,5,DLV,0.0,36.17,35.77,35.57,35.37,34.31,HUDSON'S,2024-10-07,pdf
3006180-506,35S7,OMOLENE 100 PLEASURE,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.38,20.59,20.19,19.94,19.69,19.1,HUDSON'S,2024-10-07,pdf
3006181-506,35SG,OMOLENE 200 PERFORMANCE,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.38,21.04,20.64,20.39,20.14,19.54,HUDSON'S,2024-10-07,pdf
3006182-506,35SL,OMOLENE 300 MARE+FOAL,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.38,22.39,21.99,21.74,21.49,20.85,HUDSON'S,2024-10-07,pdf
3006183-506,35SN,OMOLENE 400 50LB,TEXTURED,50.00 LB,40,FX,0,5,DLV,0.38,22.44,22.04,21.79,21.54,20.89,HUDSON'S,2024-10-07,pdf
3006184-506,35SP,OMOLENE 500 COMPETITION,TEXTURED,50.00 LB,40,FX,0,5,DLV,0.38,22.79,22.39,22.14,21.89,21.23,HUDSON'S,2024-10-07,pdf
3004500-205,35XA,OUTLAST GASTRIC SUPPORT SUPP,PELLETS,40.00 LB,50,FS,0,5,DLV,0.0,33.59,33.19,32.99,32.79,31.81,HUDSON'S,2024-10-07,pdf
3005401-627,35QH,PUR EQUITUB CLARIFLY 125LB,LIQUID,125.00 LB,16,FX,0,5,DLV,0.0,119.74,119.34,118.71,118.08,114.54,HUDSON'S,2024-10-07,pdf
3005401-617,35QH,PUR EQUITUB CLARIFLY 55LB,LIQUID,55.00 LB,20,FX,0,5,DLV,0.0,57.34,56.94,56.66,56.38,54.69,HUDSON'S,2024-10-07,pdf
3003259-742,35BG,PUR HORSE TREATS APPL+OAT 15L,BISCUIT,15.00 LB,60,FX,0,5,DLV,0.0,12.17,11.77,11.69,11.61,11.26,HUDSON'S,2024-10-07,pdf
3003259-746,35BG,PUR HORSE TRTS APPL+OAT6X3.5LB,BISCUIT,21.00 LB,45,FX,0,5,DLV,0.0,26.89,26.49,26.38,26.27,25.48,HUDSON'S,2024-10-07,pdf
3003256-742,35AY,PUR HORSE TRTS NICKR MKRS 15LB,BISCUIT,15.00 LB,60,FX,0,5,DLV,0.0,12.17,11.77,11.69,11.61,11.26,HUDSON'S,2024-10-07,pdf
3003256-746,35AY,PUR HORSE TRTSNCKR MKRS6X3.5L,BISCUIT,21.00 LB,45,FX,0,5,DLV,0.0,26.89,26.49,26.38,26.27,25.48,HUDSON'S,2024-10-07,pdf
3005457-746,35UC,PUR OUTLAST HORSE TRTS 6X3.5LB,BISCUIT,21.00 LB,36,FX,0,5,DLV,0.0,34.19,33.79,33.68,33.57,32.56,HUDSON'S,2024-10-07,pdf
3007261-506,35ZT,PURINA MINI-HORSE+PONY,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.0,21.49,21.09,20.84,20.59,19.97,HUDSON'S,2024-10-07,pdf
3002910-203,35UX,PURINA SUPERSPORT 25LB,PELLETS,25.00 LB,80,FX,0,5,DLV,0.0,38.57,38.17,38.04,37.91,36.77,HUDSON'S,2024-10-07,pdf
3006758-103,35UH,REPLENIMASH 25LB,MEAL,25.00 LB,80,FX,0,5,DLV,0.0,28.31,27.91,27.78,27.65,26.82,HUDSON'S,2024-10-07,pdf
3006758-146,35UH,REPLENIMASH 4X7LB CASE,MEAL,28.00 LB,45,FX,0,5,DLV,0.0,39.98,39.58,39.44,39.3,38.12,HUDSON'S,2024-10-07,pdf
3004620-206,35WS,STRATEGY GX BAG.,PELLETS,50.00 LB,40,FS,0,5,DLV,0.37,19.86,19.46,19.21,18.96,18.39,HUDSON'S,2024-10-07,pdf
3004621-506,35WR,STRATEGY HEALTHY EDGE,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.38,21.19,20.79,20.54,20.29,19.68,HUDSON'S,2024-10-07,pdf
3005650-506,35UM,ULTIUM COMP HORSE FORMULA,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.37,26.16,25.76,25.51,25.26,24.5,HUDSON'S,2024-10-07,pdf
3004519-506,35XX,ULTIUM GASTRIC CARE FORMULA,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.37,25.66,25.26,25.01,24.76,24.02,HUDSON'S,2024-10-07,pdf
3005651-506,35WL,ULTIUM GROWTH FORMULA,TEXTURED,50.00 LB,40,FX,0,5,DLV,0.37,27.06,26.66,26.41,26.16,25.38,HUDSON'S,2024-10-07,pdf
66924,35SW,WELLSOLVE L/S,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,30.16,29.76,29.51,29.26,28.38,HUDSON'S,2024-10-07,pdf
3004453-206,359Y,TC 30 RATION BAL 500440,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,34.5,34.1,34.1,34.1,33.08,HUDSON'S,2024-10-07,pdf
3004481,524L,TC ALF BLND FORG BL 500921,MEAL,40.00 LB,45,FX,0,5,DLV,0.0,20.4,20.0,20.0,20.0,19.4,HUDSON'S,2024-10-07,pdf
3004478,524M,TC ALFALFA CUBES NAT 500723,CUBED,50.00 LB,40,FX,0,5,DLV,0.0,23.6,23.2,23.2,23.2,22.5,HUDSON'S,2024-10-07,pdf
3005518-206,35QQ,TC BALANCER GOLD 501140,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,36.5,36.1,36.1,36.1,35.02,HUDSON'S,2024-10-07,pdf
3004454-506,359Z,TC COMPLETE TEXT 500716,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3004471,524R,TC ESSNTIAL OMEGA BLD CS500990,LIQUID,36.00 LB,36,FX,0,5,DLV,0.0,100.74,100.34,100.34,100.34,97.33,HUDSON'S,2024-10-07,pdf
3004470,524S,TC GRASS FORG NAT BL 500938,MEAL,40.00 LB,45,FX,0,5,DLV,0.0,20.4,20.0,20.0,20.0,19.4,HUDSON'S,2024-10-07,pdf
3004456-506,35A0,TC GROWTH TEXT 500808,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3004443-206,359V,TC LITE PELLET 500600,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3004458-206,35AC,TC LOW STARCH 500822,PELLETS,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3004485,524U,TC NAT GOLDN GRND FLAX 500860,MEAL,25.00 LB,78,FX,0,5,DLV,0.0,43.15,42.75,42.75,42.75,41.47,HUDSON'S,2024-10-07,pdf
3004466-206,35F3,TC NATURALS PELLET 501034,PELLETS,50.00 LB,40,FX,0,5,DLV,0.0,29.4,29.0,29.0,29.0,28.13,HUDSON'S,2024-10-07,pdf
3006782,,TC NATURALS RICE BRAN,EXTRUDED,40.00 LB,50,FX,0,5,DLV,0.0,30.15,29.75,29.75,29.75,28.86,HUDSON'S,2024-10-07,pdf
3005524-206,35WK,TC PERFORM GOLD 501133,PELLETS,50.00 LB,40,FX,0,5,DLV,0.0,27.4,27.0,27.0,27.0,26.19,HUDSON'S,2024-10-07,pdf
3004489,524V,TC SAFESTARCH FORG BL 500945,MEAL,40.00 LB,45,FX,0,5,DLV,0.0,23.4,23.0,23.0,23.0,22.31,HUDSON'S,2024-10-07,pdf
3004440-506,359U,TC SENIOR 500464,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.0,26.4,26.0,26.0,26.0,25.22,HUDSON'S,2024-10-07,pdf
3005523-506,35UP,TC SENIOR GOLD 501157,TEXTURED,50.00 LB,40,FS,0,5,DLV,0.0,27.4,27.0,27.0,27.0,26.19,HUDSON'S,2024-10-07,pdf
3004469,524W,TC STM CRMPD OATS NAT 500655,MEAL,50.00 LB,40,FX,0,5,DLV,0.0,25.9,25.5,25.5,25.5,24.73,HUDSON'S,2024-10-07,pdf
3025767,,TC STRESSFREE FORAGE,MEAL,40.00 LB,45,FX,0,5,DLV,0.0,29.15,28.75,28.75,28.75,27.89,HUDSON'S,2024-10-07,pdf
3004484,524X,TC TIMOTHY BAL CB NAT 501119,CUBED,50.00 LB,40,FX,0,5,DLV,0.0,27.85,27.45,27.45,27.45,26.63,HUDSON'S,2024-10-07,pdf
3004479,524Y,TC TIMOTHY/ALF CB NAT 500730,CUBED,50.00 LB,40,FX,0,5,DLV,0.0,23.85,23.45,23.45,23.45,22.75,HUDSON'S,2024-10-07,pdf
3004769-206,32U9,TC TLC HF PELLET,PELLETS,50.00 LB,40,MO,120,7,DLV,0.0,26.15,25.75,25.75,25.75,24.98,HUDSON'S,2024-10-07,pdf
3004465-206,35EG,TC TLC PELLET 277000,PELLETS,50.00 LB,40,MO,120,9,DLV,0.0,25.4,25.0,25.0,25.0,24.25,HUDSON'S,2024-10-07,pdf
3004486-746,524Z,TC TREATS CASE 10X2LB 501027,EXTRUDED,20.00 LB,64,FX,0,5,DLV,0.0,38.16,37.76,37.76,37.76,36.63,HUDSON'S,2024-10-07,pdf
3004467,5250,TC WHOLE OATS NAT 500617,MEAL,50.00 LB,40,FX,0,5,DLV,0.0,25.4,25.0,25.0,25.0,24.25,HUDSON'S,2024-10-07,pdf
5484,5646,MAZURI CRANE DIET,EXTRUDED,50.00 LB,21,FX,0,5,DLV,0.15,40.49,40.09,39.84,39.59,38.4,HUDSON'S,2024-10-07,pdf
1488,5M69,MAZURI EMU MAINTENANCE,PELLETS,50.00 LB,40,FX,0,5,DLV,0.18,24.84,24.44,24.19,23.94,23.22,HUDSON'S,2024-10-07,pdf
5480,5644,MAZURI FLAMINGO COMPLETE DIET,EXTRUDED,50.00 LB,21,FX,0,5,DLV,0.15,75.59,75.19,74.94,74.69,72.45,HUDSON'S,2024-10-07,pdf
